Designator,Mid X,Mid Y,Layer,Rotation
C1,74.5,-60.0,top,0
C2,74.5,-61.5,top,0
C3,38.0,-81.25,top,90
C4,44.0,-78.75,top,90
C5,156.0,-81.25,top,90
C6,162.0,-78.75,top,90
C7,120.25,-60.5,top,90
C8,118.75,-60.5,top,90
D1,100.0,-46.5,top,0
D2,105.0,-41.5,top,90
D3,95.0,-41.5,top,90
D4,100.0,-36.5,top,0
P2,149.0,-53.0,top,-90
R1,100.0,-45.0,top,180
R2,103.5,-41.5,top,-90
R3,96.5,-41.5,top,-90
R4,100.0,-38.0,top,180
R6,89.0,-52.5,top,-90
S1,51.0,-63.0,top,90
S10,120.0,-42.0,top,0
S11,80.0,-54.0,top,180
S12,120.0,-54.0,top,0
S14,100.0,-52.5,top,180
S17,51.0,-54.0,bottom,0
S18,149.0,-54.0,bottom,0
S19,47.5,-79.0,bottom,90
S2,60.0,-54.0,top,180
S20,152.5,-79.0,bottom,-90
S3,42.0,-54.0,top,0
S4,51.0,-45.0,top,-90
S5,149.0,-66.0,top,0
S6,161.0,-54.0,top,-90
S7,137.0,-54.0,top,0
S8,149.0,-42.0,top,0
S9,80.0,-42.0,top,180
U10,41.0,-80.0,top,180
U12,159.0,-80.0,top,180
U6,51.0,-76.5,top,0
U8,149.0,-76.5,top,0
